ID_Trabajador,Edad,Sexo,Departamento,Zona,Tipo_Actividad,Horas_Trabajadas_Semana,Ingreso_Mensual,Acceso_Beneficios,Tiene_Contrato_Escrito,Formalidad
1,58,Masculino,Lima,Urbana,Servicio doméstico,25,920.73,Solo salud,No,Informal
2,20,Masculino,Arequipa,Urbana,Comercio ambulante,33,1628.77,Salud y pensión,No,Formal
3,50,Masculino,Huancavelica,Urbana,Empleo formal,38,1108.75,Ninguno,Sí,Informal
4,19,Masculino,Huancavelica,Urbana,Empleo formal,22,1099.76,Ninguno,No,Formal
5,63,Femenino,Cusco,Urbana,Empleo formal,12,757.28,Salud y pensión,No,Informal
6,46,Masculino,Huancavelica,Urbana,Freelance,30,1530.4,Ninguno,Sí,Formal
7,59,Masculino,San Martín,Urbana,Servicio doméstico,23,1878.78,Ninguno,Sí,Informal
8,55,Masculino,Cusco,Urbana,Servicio doméstico,14,1784.19,Ninguno,Sí,Informal
9,63,Masculino,Arequipa,Urbana,Microempresa,46,1102.62,Salud y pensión,Sí,Informal
10,55,Masculino,Lima,Urbana,Empleo formal,29,1198.8,Ninguno,No,Informal
11,41,Masculino,Cusco,Rural,Freelance,33,1442.62,Ninguno,No,Informal
12,32,Masculino,Lambayeque,Urbana,Microempresa,52,835.13,Ninguno,No,Informal
13,53,Masculino,Lima,Urbana,Freelance,55,953.11,Ninguno,No,Formal
14,31,Masculino,Lambayeque,Rural,Comercio ambulante,58,1864.41,Ninguno,No,Informal
15,50,Femenino,San Martín,Urbana,Empleo formal,45,1326.13,Ninguno,No,Informal
16,50,Femenino,Cusco,Rural,Microempresa,14,1362.28,Solo salud,No,Informal
17,38,Femenino,Lima,Urbana,Microempresa,19,311.44,Ninguno,No,Formal
18,39,Masculino,San Martín,Rural,Comercio ambulante,41,34.42,Ninguno,No,Formal
19,36,Masculino,Lambayeque,Urbana,Microempresa,48,2152.01,Ninguno,Sí,Formal
20,49,Masculino,Lima,Urbana,Comercio ambulante,45,806.88,Solo salud,Sí,Informal
21,54,Masculino,Lima,Urbana,Comercio ambulante,37,1672.8,Salud y pensión,Sí,Informal
22,50,Femenino,Huancavelica,Rural,Empleo formal,15,1190.57,Ninguno,No,Informal
23,31,Femenino,Huancavelica,Rural,Freelance,34,1729.21,Salud y pensión,No,Informal
24,42,Femenino,San Martín,Urbana,Empleo formal,16,1864.85,Ninguno,No,Informal
25,40,Femenino,Huancavelica,Urbana,Empleo formal,33,1149.64,Ninguno,No,Informal
26,22,Masculino,Cusco,Urbana,Freelance,41,838.86,Ninguno,Sí,Informal
27,38,Masculino,Arequipa,Rural,Comercio ambulante,10,1414.52,Solo salud,No,Informal
28,32,Femenino,San Martín,Rural,Microempresa,47,848.49,Ninguno,Sí,Informal
29,30,Femenino,San Martín,Urbana,Microempresa,54,955.56,Salud y pensión,No,Informal
30,51,Masculino,Lambayeque,Urbana,Microempresa,49,1041.89,Salud y pensión,Sí,Informal
31,36,Femenino,Arequipa,Urbana,Microempresa,23,790.87,Solo salud,No,Informal
32,62,Femenino,Cusco,Urbana,Comercio ambulante,20,1203.83,Solo salud,No,Formal
33,41,Masculino,Lima,Urbana,Servicio doméstico,55,1166.62,Salud y pensión,No,Informal
34,20,Masculino,Arequipa,Rural,Empleo formal,23,609.35,Ninguno,No,Informal
35,50,Masculino,Huancavelica,Urbana,Microempresa,55,695.38,Solo salud,Sí,Informal
36,63,Femenino,Lambayeque,Urbana,Microempresa,43,1177.04,Ninguno,Sí,Informal
37,21,Masculino,Huancavelica,Urbana,Microempresa,58,1108.3,Salud y pensión,Sí,Formal
38,20,Masculino,Lambayeque,Urbana,Microempresa,51,1345.5,Salud y pensión,Sí,Informal
39,61,Femenino,Arequipa,Urbana,Microempresa,34,830.69,Ninguno,Sí,Informal
40,50,Femenino,Lambayeque,Urbana,Microempresa,44,480.97,Ninguno,No,Informal
41,62,Masculino,Arequipa,Urbana,Comercio ambulante,49,925.02,Ninguno,Sí,Informal
42,21,Masculino,San Martín,Urbana,Comercio ambulante,43,470.13,Salud y pensión,Sí,Informal
43,59,Femenino,Lambayeque,Urbana,Empleo formal,12,1232.92,Salud y pensión,No,Informal
44,62,Masculino,Huancavelica,Urbana,Microempresa,20,853.19,Ninguno,No,Informal
45,44,Masculino,Lima,Urbana,Empleo formal,20,420.12,Ninguno,Sí,Informal
46,53,Masculino,Cusco,Urbana,Empleo formal,58,1183.74,Salud y pensión,No,Formal
47,33,Femenino,Arequipa,Rural,Microempresa,25,1016.17,Solo salud,No,Informal
48,34,Femenino,Huancavelica,Urbana,Microempresa,28,629.0,Solo salud,Sí,Informal
49,37,Femenino,Lambayeque,Urbana,Microempresa,37,1442.74,Ninguno,No,Informal
50,42,Masculino,Arequipa,Rural,Servicio doméstico,21,216.86,Ninguno,No,Formal
51,29,Femenino,Huancavelica,Urbana,Microempresa,29,1941.96,Ninguno,No,Formal
52,55,Masculino,San Martín,Rural,Empleo formal,34,71.46,Ninguno,No,Informal
53,43,Femenino,San Martín,Urbana,Servicio doméstico,22,1237.53,Ninguno,No,Formal
54,63,Femenino,Lima,Urbana,Microempresa,24,1662.99,Ninguno,No,Formal
